,perimeter,area,circularity,ac,mean_intensity,standard_deviation,smoothness,skewness,class_id
0,840.8528121709824,15244.0,3.690890474123768,4130.16861564254,32564.786239059602,19025.671417422116,0.9999999972373872,68982846017.5942,-1.0
1,469.78174448013306,7421.5,2.366413949489135,3136.1799576959747,32942.014517394695,18901.707120820327,0.9999999972010319,2153003354.22787,-1.0
2,503.7401143312454,5976.0,3.3790344535068106,1768.5525502109103,32598.760810159143,19036.26885028283,0.9999999972404623,48502094915.338875,-1.0
3,373.4558436870575,4293.0,2.5852810717143915,1660.5544545890168,33611.50212195667,18996.72372280043,0.9999999972289614,-121207855317.13977,-1.0
4,362.2842707633972,3810.0,2.7413476674771697,1389.827363089009,32656.26905717154,18669.309304169758,0.9999999971309145,3615418581.8181458,-1.0
5,310.04163014888763,3402.5,2.248184894375239,1513.4431374006454,32419.812658227853,18924.156407436414,0.9999999972076687,84112240111.444,-1.0
6,295.6984843015671,3319.5,2.0961176738068854,1583.642007068838,32924.41339491918,18998.025002478786,0.999999997229341,-128801473082.513,-1.0
7,287.79898953437805,3053.0,2.158946404912165,1414.1156969221795,32762.6538341158,18944.12698986632,0.9999999972135529,125646055039.00357,-1.0
8,274.87005710601807,2666.5,2.2547760508226684,1182.600817064343,33212.12745448055,19213.51319494217,0.9999999972911408,-323039054691.7592,-1.0
9,267.79898953437805,2604.0,2.191628927338802,1188.1573415632554,32850.051169590646,18623.26221785025,0.999999997116709,-144844091646.27585,-1.0
10,274.6274166107178,2271.0,2.6427786209800215,859.3228286211295,32963.14796342478,18855.54679146711,0.9999999971873108,-87507316209.24937,-1.0
11,268.3847759962082,2219.5,2.5825619060338125,859.4179271422046,32524.012755102012,18840.08544472299,0.9999999971826924,131416965316.8173,-1.0
12,256.97056245803833,2185.0,2.4049466400945216,908.5440664555131,33034.63711072667,19101.535962179027,0.9999999972592879,-197676916412.67834,-1.0
13,164.1421353816986,1560.0,1.3743764207237605,1135.0602182031676,32501.315051797697,18913.38039483827,0.999999997204486,240789341957.84274,-1.0
14,161.0710676908493,1471.5,1.4030234974644615,1048.8063832567943,32255.613402061867,19038.470359042505,0.9999999972411004,287751036476.9043,-1.0
15,168.1421353816986,1444.0,1.5580308758562516,926.81090110388,32553.33464309102,19087.386295440083,0.9999999972552229,50535285561.22304,-1.0
16,149.3137083053589,1312.0,1.352245871293401,970.237756204124,32863.175324675336,18850.538435636714,0.9999999971858161,231019327966.69714,-1.0
17,151.65685415267944,1120.0,1.6341661092723756,685.3648436624892,32784.83946488293,19236.869929119985,0.9999999972977148,-109282749322.77408,-1.0
18,142.48528122901917,1040.0,1.5534483012353348,669.4783464457556,33419.09900990098,18865.537715843908,0.9999999971902892,-303231130983.4772,-1.0
19,153.65685415267944,988.0,1.9016783686797325,519.5410623963363,33705.957746478896,18738.667719892055,0.9999999971521142,-456773561360.7402,-1.0
20,123.0710676908493,890.5,1.3535308188343191,657.908920586612,33499.36554621847,19107.385944364032,0.9999999972609659,-597109900266.5609,-1.0
21,112.24264061450958,787.5,1.2730789116335093,618.5790941973465,33193.21800947869,18439.640154394598,0.9999999970589993,152665524157.3979,-1.0
22,111.0710676908493,785.5,1.2498153084397539,628.4928618618087,33438.03329369796,18663.28654134787,0.9999999971290624,-192875583505.87006,-1.0
23,113.65685415267944,785.0,1.3095188122230794,599.4568330540894,32830.23040380049,18634.245820872657,0.999999997120107,-117447332559.32394,-1.0
24,116.24264061450958,775.5,1.3865619171812624,559.2970572684642,32632.39928057555,18525.844464680784,0.9999999970863058,306792735941.89685,-1.0
25,108.82842707633972,733.0,1.2857924338070041,570.0764608092431,33541.23223350253,19001.68915669717,0.9999999972304093,-685286553173.3512,-1.0
26,99.41421353816986,617.5,1.2736501069364736,484.8270310951258,33925.657185628756,18992.875285604183,0.9999999972278383,-571991151682.682,-1.0
27,92.82842707633972,547.0,1.253616769298814,436.33749435719,31849.094276094274,18739.067161737854,0.9999999971522355,5397366761.118713,-1.0
28,92.82842707633972,544.0,1.2605300970706825,431.5644674127094,32620.475465313026,18358.409201004597,0.9999999970329155,63972221018.73281,-1.0
29,92.82842707633972,540.0,1.269867357048984,425.2412639812191,32546.19761499147,18951.102525679133,0.9999999972156037,602291363830.3774,-1.0
