,perimeter,area,circularity,ac,mean_intensity,standard_deviation,smoothness,skewness,class_id
0,840.8528121709824,15244.0,3.690890474123768,4130.16861564254,32564.786239059602,19025.671417422116,0.9999999972373872,68982846017.5942,-1.0
1,469.78174448013306,7421.5,2.366413949489135,3136.1799576959747,32942.014517394695,18901.707120820327,0.9999999972010319,2153003354.22787,-1.0
2,503.7401143312454,5976.0,3.3790344535068106,1768.5525502109103,32598.760810159143,19036.26885028283,0.9999999972404623,48502094915.338875,-1.0
3,373.4558436870575,4293.0,2.5852810717143915,1660.5544545890168,33611.50212195667,18996.72372280043,0.9999999972289614,-121207855317.13977,-1.0
4,362.2842707633972,3810.0,2.7413476674771697,1389.827363089009,32656.26905717154,18669.309304169758,0.9999999971309145,3615418581.8181458,-1.0
5,310.04163014888763,3402.5,2.248184894375239,1513.4431374006454,32419.812658227853,18924.156407436414,0.9999999972076687,84112240111.444,-1.0
6,295.6984843015671,3319.5,2.0961176738068854,1583.642007068838,32924.41339491918,18998.025002478786,0.999999997229341,-128801473082.513,-1.0
7,287.79898953437805,3053.0,2.158946404912165,1414.1156969221795,32762.6538341158,18944.12698986632,0.9999999972135529,125646055039.00357,-1.0
8,274.87005710601807,2666.5,2.2547760508226684,1182.600817064343,33212.12745448055,19213.51319494217,0.9999999972911408,-323039054691.7592,-1.0
9,267.79898953437805,2604.0,2.191628927338802,1188.1573415632554,32850.051169590646,18623.26221785025,0.999999997116709,-144844091646.27585,-1.0
10,1743.5991864204407,120333.5,2.010466785805393,59853.51304960475,32640.330093078177,18904.684220195897,0.9999999972019135,664713972.7430019,1.0
11,485.04372000694275,11603.0,1.6135469835631515,7190.989861588916,32559.567073170732,18845.8003886236,0.9999999971844008,16382175888.913214,1.0
